"id_node","fraude"
"1796","1"
"10604","1"
"62452","0"
"119775","0"
"183967","0"
"222293","0"
"243939","1"
"244556","0"
"257857","0"
"257859","0"
"306405","1"
"457476","0"
"492427","1"
"496990","0"
"511748","1"
"542916","0"
"551520","0"
"558261","0"
"584123","1"
"612550","0"
"644641","0"
"774108","0"
"844263","0"
"896524","1"
"910093","0"
"981630","1"
"993619","0"
"1090287","0"
"1101089","0"
"1179344","0"
"1219919","0"
"1233030","0"
"1243571","1"
"1274406","0"
"1339470","1"
"1341516","0"
"1367142","1"
"1380786","0"
"1446895","1"
"1527867","0"
"1566187","0"
"1566299","0"
"1578061","0"
"1578122","0"
"1579696","0"
"1582501","0"
"1582863","0"
"1583234","0"
"1584424","0"
"1584445","0"
"1584630","0"
"1586162","0"
"1588343","0"
"1589728","0"
"1589986","0"
"1590034","0"
"1593785","0"
"1593832","0"
"1594785","0"
"1596500","0"
"1599393","0"
"1599547","0"
"1599556","0"
"1599562","0"
"1600577","0"
"1600798","0"
"1601415","0"
"1602573","0"
"1604965","0"
"1606158","0"
"1606807","0"
"1607899","0"
"1608301","0"
"1608783","0"
"1609805","0"
"1610026","0"
"1610222","0"
"1610477","0"
"1610853","0"
"1611073","0"
"1611074","0"
"1611478","0"
"1612018","0"
"1612078","0"
"1612222","0"
"1612234","0"
"1613156","0"
"1613164","0"
"1613732","0"
"1615207","0"
"1615964","0"
"1617038","0"
"1618239","0"
"1620227","0"
"1620469","0"
"1620537","0"
"1621221","0"
"1621510","0"
"1622248","0"
"1622348","0"
"1622995","0"
"1625107","0"
"1625699","0"
"1625822","0"
"1626537","0"
"1626644","0"
"1626765","0"
"1626817","0"
"1627656","0"
"1629821","0"
"1630335","0"
"1631100","0"
"1631108","0"
"1631576","0"
"1631602","0"
"1632033","0"
"1632256","0"
"1632525","0"
"1632816","0"
"1634853","0"
"1635279","0"
"1636472","0"
"1638857","0"
"1639033","0"
"1639054","0"
"1639405","0"
"1639713","0"
"1640015","0"
"1641280","1"
"1641760","0"
"1645510","0"
"1646743","0"
"1647672","0"
"1647834","0"
"1648079","0"
"1649465","0"
"1649900","0"
"1650270","0"
"1651468","0"
"1651592","0"
"1652099","0"
"1652293","0"
"1652415","0"
"1653124","0"
